avgOxygenSaturation.timeFrame.timestamp,avgOxygenSaturation.oxygenSaturation.value,
2022-04-28 02:21:28,95.99,
2022-04-28 02:16:59,98.11,
2022-04-28 02:15:59,97.64,
2022-04-28 02:14:59,99.26,
2022-04-27 09:42:34,98.34,
2022-04-27 09:41:34,99.24,
2022-04-27 09:40:34,97.26,
2022-04-27 09:39:34,98.93,
2022-04-27 09:38:34,97.18,
2022-04-27 09:37:35,97.71,
2022-04-27 09:36:35,99.24,
2022-04-27 09:35:35,98.2,
2022-04-27 09:34:35,99.1,
2022-04-27 09:33:35,99.14,
2022-04-27 09:32:35,99.42,
2022-04-27 09:31:35,99.6,
2022-04-27 09:30:35,99.2,
2022-04-27 09:29:35,99.07,
2022-04-27 09:28:35,99.1,
2022-04-27 09:27:36,99.25,
2022-04-27 09:26:36,98.96,
2022-04-27 09:25:36,99.26,
2022-04-27 09:24:36,99.48,
2022-04-27 09:23:36,99.19,
2022-04-27 09:22:36,98.94,
2022-04-27 09:21:36,98.06,
2022-04-27 09:20:36,98.67,
2022-04-27 09:19:36,99.03,
2022-04-27 09:18:37,99.09,
2022-04-27 09:17:37,99.13,
2022-04-27 09:16:37,98.37,
2022-04-27 09:15:37,99.5,
2022-04-27 09:14:37,98.57,
2022-04-27 09:13:37,99.64,
2022-04-27 09:12:37,97.95,
2022-04-27 09:11:37,98.12,
2022-04-27 09:10:37,99.47,
2022-04-27 09:09:38,99.01,
2022-04-27 09:08:38,98.94,
2022-04-27 09:07:38,99.03,
2022-04-27 09:06:38,98.85,
2022-04-27 09:05:38,97.11,
2022-04-27 09:04:38,98.26,
2022-04-27 09:03:38,98.08,
2022-04-27 09:02:38,98.45,
2022-04-27 09:01:38,98.36,
2022-04-27 09:00:39,98.47,
2022-04-27 08:59:39,99.28,
2022-04-27 08:58:39,98.98,
2022-04-27 08:57:39,99.53,
2022-04-27 08:56:39,99.43,
2022-04-27 08:55:39,99.56,
2022-04-27 08:54:39,99.48,
2022-04-27 08:53:39,99.19,
2022-04-27 08:52:39,99.39,
2022-04-27 08:51:40,99.5,
2022-04-27 08:50:40,99.1,
2022-04-27 08:49:40,99.1,
2022-04-27 08:48:40,99.46,
2022-04-27 08:47:40,99.77,
2022-04-27 08:46:40,99.58,
2022-04-27 08:45:40,99.62,
2022-04-27 08:44:40,98.26,
2022-04-27 08:43:40,98.11,
2022-04-27 08:42:41,95.99,
2022-04-27 08:41:41,98.1,
2022-04-27 08:40:41,98.39,
2022-04-27 08:39:41,98.87,
2022-04-27 08:38:41,98.85,
2022-04-27 08:37:41,98.41,
2022-04-27 08:36:41,99.2,
2022-04-27 08:35:41,98.75,
2022-04-27 08:34:41,98.87,
2022-04-27 08:33:42,98.75,
2022-04-27 08:32:42,98.8,
2022-04-27 08:31:42,98.34,
2022-04-27 08:30:42,98.58,
2022-04-27 08:29:42,97.73,
2022-04-27 08:28:42,99.26,
2022-04-27 08:27:42,99.59,
2022-04-27 08:26:42,99.67,
2022-04-27 08:25:42,96.27,
2022-04-27 08:24:42,95.34,
2022-04-27 08:23:43,98.05,
2022-04-27 08:22:43,98.51,
2022-04-27 08:21:43,98.31,
2022-04-27 08:20:43,99.18,
2022-04-27 08:19:43,99.55,
2022-04-27 08:18:43,98.9,
2022-04-27 08:17:43,97.69,
2022-04-27 08:16:43,97.56,
2022-04-27 08:15:43,97.26,
